Title,Video Link,Summary,Doc,Status,Catergory,Spanish,Date,Autor,Category,Description
Сила Предков,https://www.youtube.com/watch?v=jRjWWhO1otk,Основной вопрос текста: как работать с силой предков и как достичь единения с ней?,https://docs.google.com/document/d/1HRoYsTVBC1WgufYFN_LB8tjmJwcvQJCJ0NDJDueudJ8/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1asjkA7p4hHjFZohSYbtaoUvJmliJQL1suAEXlj6pHTA/edit?usp=drivesdk,1/6/2025,Шкарубо Лена,Растения Учителя и Процесс Диеты,"Растения учителя, для чего они. Что такое диета с растением и особенности её прохождения."
Новогодние чудеса,https://www.youtube.com/watch?v=oqt-uDzo1fk,Основной вопрос текста: Может ли чудо произойти в Новый год и как вибрирование на высокой частоте связано с привлечением энергии и синхронизацией?,https://docs.google.com/document/d/12nhgsQnXV5JECG-HlF_BguTC3c5JDI9Rbmm3HajC30U/edit?usp=drivesdk,Not Edited,Внутренние развитие,https://docs.google.com/document/d/1nG5wIGyNu5Krpw6rlnZaRCMhBVBE7tWUvdgx0OkjrTo/edit?usp=drivesdk,1/1/2025,,Внутренние развитие,"Темы ведущие к целостности и внутреней определенности. Ответы на вопросы про духовное развитие, философию и психологию. Раскрытие понимания служения человека во вселенной. "
Новогодня речь Пепе 2025,https://www.youtube.com/watch?v=XEsvppKErdw,Какие изменения наблюдаем на глобальном уровне и как они отражаются на нашем внутреннем развитии и сознании?,https://docs.google.com/document/d/10UvzJ_B3cpixszpW_kd1kxsERc3TFQzmIT0x45SV2SU/edit?usp=drivesdk,Not Edited,Внутренние развитие,https://docs.google.com/document/d/1qUafE_mg2d1iE2qlPbyrnaa2NGGBzZzhvSu4MXaLQ6U/edit?usp=drivesdk,1/1/2025,,Целительство и Энергетические практики,"Практики связанные с целительством. Пепе объясняет понимание что такое управление энергией, через такие инструменты как творчество, театр, тай чи, йога и другие, а так же что такое энергетическая коррекция"
Одиночество,https://www.youtube.com/watch?v=i9xCSLluHQw,"Как изменяется наше ощущение одиночества во время трансформационных процессов, и действительно ли не существует одиночества согласно Вселенской библиотеке?",https://docs.google.com/document/d/1Ed6CQ0-2rq-LL2FhUEkvsHSXAuLP4Hl0rJIPAlXUyoA/edit?usp=drivesdk,Done,"Взаимоотношения и семья, Внутренние развитие",https://docs.google.com/document/d/1oTOMwWHyhU-HHXuvnJxI00XC3B1UnM1HE-YYtYtM6VE/edit?usp=drivesdk,12/30/2024,Шкарубо Лена,Энергетическая защита и очищение,Раздел про то как защититься и очиститься от внешнего паразитического влияния. Как сохранить чистоту. Какие манипуляции существуют в обществе. Что такое энергетические паразиты и чипы.
Как распознать сакральное послание,https://www.youtube.com/watch?v=tQJv1uUajfE,Как понять разницу между реальными посланиями под воздействием айяуаски и собственными фантазиями и как развить способность распознавать сакральные послания.,https://docs.google.com/document/d/1tfN_YGZWl-aCrFowPIkaGPb1616mT74XOi66X_BdDDY/edit?usp=drivesdk,Done,"Растения Учителя и Процесс Диеты, Внутренние развитие",https://docs.google.com/document/d/1gcCL4oTh0iF3D93UFppAbsAXAbd05sMp8YysHy3Q6HY/edit?usp=drivesdk,12/27/2024,Шкарубо Лена,Здоровье и Питание,Всё что связанно со здоровьем тела и как его поддерживать. Как правильно питаться. Что такое “избыток холода в теле”.
Рекомендации после прохождения диет. Как сохранить состояние,https://www.youtube.com/watch?v=PA3fyvNMnj4,"Как сохранить равновесие и покой после прохождения диеты и вернуться к внутреннему миру, о котором узнали в процессе?",https://docs.google.com/document/d/1Ll67u0tdtS6tItmnddbvCLhgomvyL1VI7pdbOMaxW-E/edit?usp=drivesdk,Not Edited,"Растения Учителя и Процесс Диеты, Энергетическая защита и очищение",https://docs.google.com/document/d/1ER5pZk3okVhQ6TIHUXbRQq6AXtIiZQlJWq8G7OrO5GQ/edit?usp=drivesdk,9/24/2024,,Взаимоотношения и семья,Про личные взаимоотношения в обществе. Какую роль выполняют мужчина и женщина. Что такое любовь. Воспитание детей. Отношение с родителями. Сила рода
Айуаска. Что такое свобода,https://www.youtube.com/watch?v=2LjEUOmqy18,Основной вопрос текста - что такое свобода и какой путь к ней предлагается через познание себя и разрушение внутренних программ и паттернов?,https://docs.google.com/document/d/1mquN0JtPXFgWuFifetw2Yr13cynXyp0YXyxxA1g-sLE/edit?usp=drivesdk,Done,"Растения Учителя и Процесс Диеты, Внутренние развитие",https://docs.google.com/document/d/1DETFgJAHOnwUTFpsHBaBvXFBsvqurYWO9SSCWEmobQs/edit?usp=drivesdk,9/13/2024,,Центр Дос Мундос,Методы и инструменты Дос Мундоса
Очищение чакр и безусловная любовь,https://www.youtube.com/watch?v=mw2p1FuPa2s,"Каким образом мы можем разблокировать и очистить чакры, чтобы достичь гармонии и равновесия, учитывая связь энергетических центров с нашими мыслями, эмоциями и действиями?",https://docs.google.com/document/d/1NP5hm5JIJZg8TG6lc26z_RNF-OXdq0f4q0e-il26eBM/edit?usp=drivesdk,Done,"Внутренние развитие, Целительство и Энергетические практики, Энергетическая защита и очищение",https://docs.google.com/document/d/1XXT9EwZxz9Ll0E2XN3G1Q4K6z-Jh7HJQM5yIjGmsDBQ/edit?usp=drivesdk,9/11/2024,,Медитации,Медитацию которую ведет Пепе
Функция Аяваски. Нежелание пить,https://www.youtube.com/watch?v=gsDuFHRvNo4,"Может ли быть ситуация, когда человеку не нужно пить айавску, и какие альтернативы могут быть в таком случае?",https://docs.google.com/document/d/1jht46r7eg-YxqIjgE3JHg_SpCdou2mZfkVKfpiEZx5U/edit?usp=drivesdk,Not Edited,Растения Учителя и Процесс Диеты,https://docs.google.com/document/d/1Jlu2e25d1gTH-ex32t-906r6kG1FyOXjWNhAhwBM2mA/edit?usp=drivesdk,8/2/2024,,,
Богатство в Сакральном Пути,https://www.youtube.com/watch?v=wyydDv5lhH0,"Каким образом человек, обладающий состоянием, может жить из сакрального начала и проявлять служение в мире, где присутствует разделение на богатых и бедных?",https://docs.google.com/document/d/1Fm4IgNgfdYyxVnE-m_cASiaRn7l7vuwd83pEtpMYZyw/edit?usp=drivesdk,Done,Внутренние развитие,https://docs.google.com/document/d/1PtnIHwFe44Bwa22h4UvjJCmaJTmbMNg2AxGnB3JYvt8/edit?usp=drivesdk,7/31/2024,,,
